"Participant","Sex","Age","NativeLanguage","EducationLevel","VGexp","Handedness","Inclusion","antisaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","SF","Flight","Bonus","Mine","Fortress","SF_multi_01","SF_multi_02","SF_multi_03","SF_multi_04","SF_multi_05"
1,"man",23,"french",16,9,"right-handed",1,443.057471264368,139.076923076923,34.4219237552571,0.916666666666667,0.964285714285714,0.916666666666667,228.740740740741,51.7261904761905,104.550933786078,1985,-405,550,1090,750,1590,1985,1895,1425,1945
2,"woman",25,"french",17,3,"right-handed",1,584.103448275862,189.736772486773,72.3854903943376,0.933333333333333,0.785714285714286,0.75,200.346153846154,10.3911111111111,266.701960784314,-270,-1460,400,540,250,-270,-1090,-870,-410,-810
3,"man",22,"french",15,8,"right-handed",1,429.310344827586,183.602809706258,91.0079900124844,0.958333333333333,0.892857142857143,0.916666666666667,210.490566037736,187.655714285714,457.957627118644,2550,-100,550,1100,1000,1540,1600,1640,1940,2550
4,"man",23,"french",18,6,"right-handed",1,414.752808988764,123.634738186462,101.120531400966,0.941666666666667,0.928571428571429,0.5,159.148148148148,19.24,221,3990,-100,850,990,2250,1580,1860,2450,2900,3990
5,"woman",31,"french",20,3,"right-handed",1,519.784090909091,52.8940886699507,49.7932340009771,0.875,1,0.75,206,66.9763636363637,266.822580645161,130,-1330,250,710,500,-125,-960,130,-420,65
6,"man",24,"french",18,3.5,"right-handed",1,413.722222222222,-5.15581098339715,5.06871035940804,0.883333333333333,0.678571428571429,0.833333333333333,230.735849056604,18.4846153846154,371.316263632053,2270,-120,500,640,1250,1240,1470,1630,2270,1320
7,"man",27,"french",15,8,"right-handed",1,440.797752808989,231.185185185185,76.8831395348837,0.958333333333333,0.928571428571429,1,212.074074074074,182.25,464.848584595128,3110,-570,900,1030,1750,2130,2595,2965,3015,3110
8,"man",22,"french",17,5,"right-handed",1,461.166666666667,41.88,23.6152906692721,0.933333333333333,1,0.916666666666667,208.222222222222,75.6923076923077,116.580575317043,1175,-525,350,850,500,280,815,795,845,1175
9,"man",20,"french",15,8,"right-handed",1,412.133333333333,50.1909937888198,59.825956937799,0.983333333333333,0.821428571428571,0.75,272.471698113208,57.4120879120878,156.260327868853,3310,-150,1000,960,1500,2115,2460,2190,3310,2795
11,"woman",26,"french",17,3,"right-handed",1,549.701149425287,230.590909090909,305.689873417722,0.75,0.607142857142857,0.416666666666667,291.245283018868,84.0973913043479,446.406026365349,-1295,-2165,-200,570,500,-1605,-1295,-1355,-1750,-1300
12,"woman",23,"french",17,3,"right-handed",1,446.730337078652,255.781746031746,39.4212880143114,0.9,0.857142857142857,0.833333333333333,208.518518518519,147.033816425121,502.127213114754,1620,-520,400,990,750,-410,955,1240,1330,1620
13,"man",21,"french",14,6,"right-handed",1,406.738636363636,110.814814814815,215.864980449658,0.9,0.857142857142857,0.416666666666667,237.074074074074,122.681818181818,174.090136054422,1665,-185,600,1000,250,1380,190,1495,935,1665
14,"man",23,"french",17,5.5,"right-handed",1,404.658536585366,65.5057471264367,45.5782392894463,0.916666666666667,0.678571428571429,0.833333333333333,195.301886792453,89.1153846153845,304.895457033388,2840,-150,800,440,1750,1185,1815,2070,2095,2840
15,"man",20,"french",14,4.5,"left-handed",1,540.277777777778,43.6441379310345,52.8206851971559,0.95,0.785714285714286,1,151.037037037037,115.642512077295,358.665817770232,3680,-100,700,1080,2000,2050,1980,2870,3340,3680
18,"woman",24,"french",17,3,"right-handed",1,453.103448275862,109.594861660079,38.7519415967692,0.925,0.857142857142857,0.916666666666667,300.358490566038,42.88,87.8333333333334,585,-465,-100,900,250,-620,-410,250,585,-140
19,"man",20,"french",14,6,"right-handed",1,493.966292134831,350.535714285714,217.741935483871,0.9,0.821428571428571,0.833333333333333,199.740740740741,145.076923076923,320.129032258065,1405,-505,50,860,1000,350,1405,425,1235,440
20,"man",20,"french",15,3,"left-handed",1,433.965517241379,324.818646232439,44.9178571428571,0.85,0.642857142857143,0.75,144.814814814815,275.656923076923,96.8722548716363,140,-1100,100,390,750,-1605,-320,-1035,-550,140
21,"man",26,"french",14,9,"right-handed",1,440.730337078652,212.510344827586,23.5475177304965,0.916666666666667,0.857142857142857,0.833333333333333,173.111111111111,94.1196581196582,406.330367074527,2190,-100,750,1040,500,1745,1530,1940,2190,2080
22,"man",21,"french",16,6.5,"right-handed",1,442.604651162791,28.5148148148148,87.6684995112414,0.983333333333333,0.714285714285714,1,184.547169811321,19.6574074074074,30.8143800440205,1605,-525,800,830,500,850,1605,750,1320,1390
23,"man",32,"french",15,5.5,"right-handed",1,425.701149425287,507.787545787546,109.282051282051,0.458333333333333,0.821428571428571,0.333333333333333,201.111111111111,58.3369565217392,303.986943164363,-640,-1320,-50,230,500,-845,-1030,-1345,-990,-640
24,"woman",26,"french",20,7,"right-handed",1,400.193181818182,336.551724137931,231.167593622544,0.858333333333333,0.928571428571429,0.833333333333333,189.566037735849,136.481481481481,623.229432624114,1295,-1155,550,900,1000,385,760,240,1180,1295
25,"man",20,"french",16,7,"right-handed",1,449.471264367816,101.964387464387,161.929198966408,0.941666666666667,0.785714285714286,0.833333333333333,161.592592592593,8.81833333333338,356.440838404327,3020,-710,100,630,3000,1445,2600,2790,-1350,3020
26,"man",20,"french",13,9,"right-handed",1,394.126436781609,23.3681318681319,184.649419729207,0.85,0.607142857142857,0.333333333333333,176.43137254902,-65.6162962962964,517.785630498534,2140,-100,150,840,1250,1835,365,1000,1520,2140
27,"man",23,"french",15,5.5,"right-handed",1,402.583333333333,101.298850574713,166.902760438341,0.916666666666667,0.714285714285714,0.75,226.037037037037,116.75,484.614601018676,2205,-85,450,840,1000,445,1290,1110,2205,1470
30,"man",22,"other",17,5.5,"right-handed",1,421.5,25.1871921182266,74.9080459770115,0.866666666666667,0.821428571428571,0.583333333333333,168.961538461538,276.737179487179,444.293906810036,2590,-150,600,890,1250,1095,1180,2030,1840,2590
33,"man",25,"french",15,8,"left-handed",1,392.835294117647,177.436781609195,80.9430641821946,0.908333333333333,0.857142857142857,0.75,211.518518518519,54.0370370370371,468.57079970653,2720,-100,500,1070,1250,490,1705,1870,2030,2720
35,"woman",35,"french",17,6.5,"right-handed",1,495.544444444444,429.070197044335,240.09045691151,0.875,0.964285714285714,0.833333333333333,236,45.2815384615385,399.423728813559,890,-670,150,910,500,-635,-1060,-340,695,890
36,"man",29,"french",17,9,"right-handed",1,541.367816091954,367.922360248447,117.273277074543,0.85,0.75,0.666666666666667,196.148148148148,70.4628571428572,560.776380153739,1745,-335,650,680,750,1365,725,1515,1745,1335
37,"man",24,"french",15,10,"left-handed",1,613.852272727273,194.88275862069,77.7681922196797,0.916666666666667,1,0.833333333333333,211.222222222222,178.264957264957,599.497354497355,1035,-615,250,900,500,720,1035,215,-245,695
38,"woman",32,"french",12,10,"right-handed",1,438.056179775281,97.3499361430395,236.547462223944,0.941666666666667,0.857142857142857,0.75,202.518518518519,30.9303703703703,407.560734463277,1880,-350,800,680,750,1245,375,1225,1880,1655
39,"woman",27,"french",17,3,"right-handed",1,502.033707865169,229.546296296296,35.3199952221692,0.941666666666667,0.857142857142857,1,229.528301886792,32.4585714285714,247.814187068424,1220,-170,250,890,250,430,620,40,1220,1100
40,"woman",24,"french",14,5,"right-handed",1,467.872093023256,295.666666666667,424.391390400792,0.983333333333333,0.928571428571429,0.833333333333333,164.148148148148,187.481481481482,396.593837535014,3730,-300,1150,1130,1750,2420,2130,3000,3730,3620
41,"man",25,"french",12,9,"right-handed",1,414.842696629213,183.884285714286,20.2285107446277,0.791666666666667,0.821428571428571,0.75,183.925925925926,54.0785714285714,198.403576751118,1715,-335,250,800,1000,635,860,1715,1520,1520
42,"woman",32,"french",12,6,"right-handed",1,422.318181818182,255.590804597701,148.858695652174,0.933333333333333,0.607142857142857,0.833333333333333,236.846153846154,65.5247252747253,410.592176870748,-725,-1175,-200,150,500,-1990,-765,-1660,-725,-1260
43,"man",33,"french",14,7,"right-handed",1,486.72619047619,180.793103448276,11.6929400386847,0.95,0.75,0.75,189.471698113208,107.523333333333,320.656349206349,1760,-50,400,910,500,1150,1760,1735,1060,1220
45,"woman",24,"french",17,5.5,"right-handed",1,484.741573033708,254.198850574713,191.162590098074,0.825,0.75,0.333333333333333,158.603773584906,158.444444444444,359.858651026393,910,-730,300,590,750,525,500,910,655,760
46,"woman",26,"french",17,4.5,"right-handed",1,365.157303370787,159.868700265252,65.0540293040293,0.958333333333333,0.964285714285714,1,194.407407407407,27.3783068783069,276.103125,1800,-170,50,1170,750,580,1245,1580,1655,1800
47,"man",31,"french",12,8,"right-handed",1,446.449438202247,116.862068965517,695.114449960805,0.866666666666667,0.821428571428571,0.25,220.433962264151,69.4113712374582,170.44262295082,1865,-35,200,950,750,1025,935,1495,1865,1295
49,"woman",23,"french",17,6.5,"right-handed",1,414.682926829268,140.157142857143,52.1170182841068,0.908333333333333,0.964285714285714,0.916666666666667,217.111111111111,12.8461538461538,312.896717600453,1975,-395,600,1020,750,-25,520,1975,850,795
50,"man",24,"french",17,7,"right-handed",1,429.597701149425,108.168719211823,36.73564122738,0.95,0.892857142857143,0.75,200.925925925926,122,320.956179066835,2460,-170,600,1030,1000,1090,1090,1215,1635,2460
51,"woman",25,"french",16,7,"right-handed",1,411.941176470588,220.64039408867,117.867709437964,0.866666666666667,0.821428571428571,0.833333333333333,216.37037037037,208.136363636364,355.432748538012,895,-255,250,650,250,885,895,530,645,860
52,"woman",23,"french",17,8,"right-handed",1,486.349397590361,76.8620689655172,360.572446236559,0.941666666666667,0.857142857142857,0.833333333333333,198.058823529412,159.68,573.91462585034,605,-635,400,590,250,310,605,75,-415,-465
53,"woman",23,"french",12,10,"left-handed",1,409.776470588235,108.653846153846,326.660153256705,0.758333333333333,0.75,0.333333333333333,206.740740740741,111.472222222222,163.48001150417,965,-755,250,970,500,-175,-905,965,240,340
54,"man",28,"french",15,9,"right-handed",1,568.645569620253,52.3358320839582,388.521120689655,0.783333333333333,0.714285714285714,0.666666666666667,252.259259259259,182.877192982456,356.840418353576,-740,-490,-350,-150,250,-840,-1190,-770,-1175,-740
55,"man",20,"french",12,9,"right-handed",1,431.058823529412,192.60989010989,232.747252747253,0.8,0.678571428571429,1,226.245283018868,284.440476190476,443.938620689655,2305,-35,800,790,750,920,1270,1755,2305,1980
56,"woman",28,"french",17,8,"right-handed",1,452.552941176471,97.0714285714284,77.0454545454545,0.966666666666667,0.785714285714286,0.75,158.592592592593,26.3249158249158,326.553134248049,1430,-120,150,900,500,1035,1430,980,260,1020
57,"woman",19,"french",13,4,"right-handed",1,470.418604651163,179.551428571429,80.4930434782609,0.791666666666667,0.892857142857143,0.75,110.555555555556,85.0909090909091,376.44,965,-975,400,790,750,-625,45,310,965,610
59,"woman",29,"french",17,5,"right-handed",1,557.425287356322,83.9259259259261,158.126636982714,0.883333333333333,0.857142857142857,0.75,268.547169811321,194.425925925926,1201.44146825397,-595,-1655,200,610,250,-1530,-595,-1475,-650,-675
60,"woman",21,"french",15,8,"right-handed",1,539.827586206897,217.371352785146,-19.9565217391304,0.866666666666667,0.75,0.833333333333333,203.730769230769,151.785714285714,184.48846387371,-545,-1425,-50,680,250,-925,-545,-1140,-1490,-550
61,"man",29,"french",20,7,"right-handed",1,453.688888888889,240,96.246109839817,0.925,0.892857142857143,0.666666666666667,191.962962962963,-61.1614814814815,407.075157232704,1960,-150,700,660,750,1585,1935,1895,1710,1960
63,"woman",30,"french",14,2,"right-handed",1,463.53488372093,160.123015873016,33.9169325298358,0.825,0.75,0.25,189.22641509434,32.4615384615385,581.147916666667,890,-300,50,640,500,60,-295,250,105,890
64,"woman",20,"french",14,6.5,"right-handed",1,507.068181818182,233.394636015326,191.816784869976,0.833333333333333,0.714285714285714,0.5,160.037037037037,-44.175,454.18099698896,540,-880,550,620,250,-900,-890,-1100,540,-200
65,"man",21,"french",15,5.5,"right-handed",1,520.952941176471,166.494708994709,249.904519331243,0.85,0.535714285714286,1,166.075471698113,75.63,207.573101371696,35,-755,200,340,250,35,-1395,0,-760,-255
67,"man",20,"french",15,3.5,"right-handed",1,434.206896551724,200.670344827586,77.2951406649616,0.925,0.892857142857143,0.833333333333333,173.962962962963,40.2380952380952,175.345667299178,2500,-420,450,970,1500,1915,1635,2500,1895,2315
68,"woman",23,"french",17,3,"right-handed",1,425.534090909091,289.675606641124,205.557277541005,0.916666666666667,0.964285714285714,0.916666666666667,202.792452830189,102.853846153846,178.55637336902,2150,-100,450,1050,750,1265,1345,1660,990,2150
69,"woman",33,"french",15,6.5,"right-handed",1,452.7,319.034482758621,48.8492424242424,0.883333333333333,0.892857142857143,0.666666666666667,235.150943396226,130.819645732689,193.176307007786,2510,-150,600,1060,1000,-700,-1345,1290,1445,2510
70,"man",22,"french",14,10,"right-handed",1,431.179775280899,399.328042328042,318.438220551379,0.891666666666667,0.821428571428571,0.75,200.754716981132,112.5,598.338017174083,1650,-50,500,700,500,560,1070,640,1650,1580
71,"woman",22,"french",17,5.5,"right-handed",1,421.772727272727,169.946086956522,116.837643255951,0.833333333333333,0.785714285714286,0.583333333333333,214.433962264151,130.189814814815,212.5091714105,675,-575,50,700,500,-475,485,415,675,660
72,"man",33,"french",17,3,"right-handed",1,573.518072289157,255.200510855683,25.132486631016,0.891666666666667,0.714285714285714,1,197.074074074074,89.1239935587762,411.621693121693,1520,-100,150,720,750,10,90,945,1315,1520
73,"woman",24,"french",19,5.5,"right-handed",1,428.52808988764,386.128078817734,120.281871345029,0.925,0.964285714285714,0.75,190.018867924528,227.005952380952,219.05291005291,1230,-560,400,890,500,640,-505,575,1050,1230
74,"woman",33,"french",12,3.5,"left-handed",1,503.089887640449,228.533333333333,251.744444444445,0.766666666666667,0.642857142857143,0.333333333333333,218.037037037037,434.657407407407,956.22991202346,925,-555,850,380,250,85,-850,-385,485,925
75,"woman",31,"french",17,7,"right-handed",1,724.880952380952,224.759523809524,125.241049273307,0.908333333333333,0.75,0.666666666666667,213.962962962963,50.85,735.441028225806,-855,-1745,150,490,250,-3255,-2050,-2270,-1220,-855
76,"woman",33,"french",15,2,"right-handed",1,443.223529411765,404.655172413793,344.168417104276,0.833333333333333,0.678571428571429,0.666666666666667,307.37037037037,285.482905982906,825.060689655172,-915,-1625,150,310,250,-2690,-915,-2930,-3080,-2835
77,"woman",19,"french",14,5.5,"right-handed",1,473.233333333333,118.869565217391,224.665750915751,0.95,0.964285714285714,0.75,211.222222222222,230.972307692308,641.213362068966,1095,-395,250,740,500,570,-300,635,700,1095
78,"woman",18,"french",15,2,"right-handed",1,476.944444444444,207.142857142857,-2.89247311827955,0.975,0.75,0.75,157.423076923077,102.730434782609,315.7803897309,700,-810,350,910,250,185,-115,700,-130,505
80,"man",22,"french",17,3,"right-handed",1,414.195402298851,130.769230769231,43.7365362262689,0.625,0.678571428571429,1,187.622641509434,27.3927272727273,337.940303124033,2115,-735,500,850,1500,1040,925,2020,415,2115
81,"man",22,"french",15,8,"right-handed",1,438.563218390805,94.7072463768116,53.3908045977012,0.966666666666667,1,0.833333333333333,180.961538461538,-0.694814814814777,149.088992974239,2110,-150,300,960,1000,1085,2110,2020,1615,1745
82,"woman",31,"french",20,6,"right-handed",1,529.906976744186,168.851282051282,46.4354005167959,0.941666666666667,0.928571428571429,1,171.148148148148,51.6043956043956,469.964691046658,2920,-100,650,1120,1250,1540,925,1560,2920,1020
83,"man",21,"french",15,3,"right-handed",1,508.222222222222,351.733333333333,186.468289637953,0.866666666666667,0.928571428571429,0.583333333333333,302.867924528302,154.588571428571,482.148745519713,1205,-685,700,690,500,450,1055,470,1205,1190
84,"man",21,"french",16,6,"right-handed",1,435.022471910112,-1.64428571428562,51.3935580524345,0.9,0.964285714285714,0.75,196.962962962963,4.13166666666666,333.951123374064,3110,-50,950,960,1250,2080,2140,2595,3110,3090
85,"woman",23,"french",16,5.5,"right-handed",1,514.101123595506,224.714814814815,34.1635455680399,0.9,0.857142857142857,0.666666666666667,181.396226415094,38.8461538461538,284.827380952381,-975,-1295,0,70,250,-1955,-1100,-2070,-2105,-975
86,"woman",22,"french",17,3,"right-handed",1,484.261363636364,432.060740740741,201.604395604396,0.825,0.714285714285714,0.416666666666667,214.192307692308,89.15,298.12750385208,-15,-1055,200,590,250,-970,-15,-865,-965,-825
